"soc","industry_code"
"51-3011","TE1000"
"51-3020","TE1000"
"51-3021","TE1000"
"51-3022","TE1000"
"51-3023","TE1000"
"51-3090","TE1000"
"51-3091","TE1000"
"51-3092","TE1000"
"51-3093","TE1000"
"51-3099","TE1000"
"51-4000","TE1000"
"51-4020","TE1000"
"51-4021","TE1000"
"51-4022","TE1000"
"51-4023","TE1000"
"51-4030","TE1000"
"51-4031","TE1000"
"51-4032","TE1000"
"51-4033","TE1000"
"51-4034","TE1000"
"51-4035","TE1000"
"51-4041","TE1000"
"51-4050","TE1000"
"51-4051","TE1000"
"51-4052","TE1000"
"51-4060","TE1000"
"51-4061","TE1000"
"51-4062","TE1000"
"51-4070","TE1000"
"51-4071","TE1000"
"51-4072","TE1000"
"51-4081","TE1000"
"51-4111","TE1000"
"51-4120","TE1000"
"51-4121","TE1000"
"51-4122","TE1000"
"51-4190","TE1000"
"51-4191","TE1000"
"51-4192","TE1000"
"51-4193","TE1000"
"51-4194","TE1000"
"51-4199","TE1000"
"51-5100","TE1000"
"51-5111","TE1000"
"51-5112","TE1000"
"51-5113","TE1000"
"51-6000","TE1000"
"51-6011","TE1000"
"51-6021","TE1000"
"51-6031","TE1000"
"51-6040","TE1000"
"51-6041","TE1000"
"51-6042","TE1000"
"51-6050","TE1000"
"51-6051","TE1000"
"51-6052","TE1000"
"51-6060","TE1000"
"51-6061","TE1000"
"51-6062","TE1000"
"51-6063","TE1000"
"51-6064","TE1000"
"51-6090","TE1000"
"51-6091","TE1000"
"51-6092","TE1000"
"51-6093","TE1000"
"51-6099","TE1000"
"51-7000","TE1000"
"51-7011","TE1000"
"51-7021","TE1000"
"51-7030","TE1000"
"51-7031","TE1000"
"51-7032","TE1000"
"51-7040","TE1000"
"51-7041","TE1000"
"51-7042","TE1000"
"51-7099","TE1000"
"51-8000","TE1000"
"51-8010","TE1000"
"51-8011","TE1000"
"51-8012","TE1000"
"51-8013","TE1000"
"51-8021","TE1000"
"51-8031","TE1000"
"51-8090","TE1000"
"51-8091","TE1000"
"51-8092","TE1000"
"51-8093","TE1000"
"51-8099","TE1000"
"51-9000","TE1000"
"51-9010","TE1000"
"51-9011","TE1000"
